# E2E flow timings — wall-seconds per flow, regenerated from Maestro JUnit by
# gen-flow-timings.sh. Consumed by run-e2e-queue.sh to seed the work-queue
# LONGEST-FIRST (LPT): the Convex queue hands flows out in INSERTION order
# (convex/e2eQueue.ts claimNext → .first() on by_run_status), so seeding the
# biggest flows first lets the work-stealing runner pool start the long poles
# immediately and balances the tail (NEO-61). Alphabetical seeding left a ~4.5 min
# fastest↔slowest runner spread (e2e-sample-run2, 2026-06-20).
#
# Format: <seconds><TAB><repo-relative flow path>, sorted seconds-desc / path-asc.
# Blank lines and lines starting with # are ignored. A flow NOT listed gets the
# median of the known values (mid-queue) at enqueue time, so a new/unmeasured flow
# is never starved to the end; if this file is missing/empty, enqueue falls back to
# alphabetical order.
#
# DO NOT hand-edit: every "E2E Tests" run rebuilds this (report job → `flow-timings`
# artifact) and the weekly refresh-flow-timings.yml opens a chore PR when it drifts.
359	.maestro/flows/set-selector/features-propagation.yaml
326	.maestro/flows/set-selector/team-picker.yaml
294	.maestro/flows/set-selector/move-parallels-of-inserts-custom.yaml
252	.maestro/flows/profile/credentials-lifecycle.yaml
225	.maestro/flows/set-selector/set-attributes-edit.yaml
223	.maestro/flows/set-selector/card-detail-panel.yaml
193	.maestro/flows/set-selector/parallel-grouping-cancel-discards.yaml
188	.maestro/flows/set-selector/custom-card-crud.yaml
163	.maestro/flows/set-selector/card-features-missing.yaml
158	.maestro/flows/set-selector/parallel-grouping-reject-parallel.yaml
155	.maestro/flows/set-selector/variant-metadata-editor-insert.yaml
139	.maestro/flows/set-selector/cards-parallel-custom.yaml
125	.maestro/flows/profile/fill-profile-data.yaml
95	.maestro/flows/set-selector/checklist-fetch-unknown-entities-skip-some.yaml
93	.maestro/flows/set-selector/checklist-fetch-cancel-dialog.yaml
93	.maestro/flows/set-selector/topps-chrome-add-feature.yaml
87	.maestro/flows/set-selector/checklist-keyboard-only-dialog.yaml
84	.maestro/flows/qr-code/generate-qr.yaml
76	.maestro/flows/sale/running-total.yaml
65	.maestro/flows/set-selector/custom-entry-survives-resync.yaml
63	.maestro/flows/set-selector/multi-source-panel-opens-dialog.yaml
56	.maestro/flows/set-selector/sets-base.yaml
52	.maestro/flows/set-selector/checklist-renders-rich-fields.yaml
49	.maestro/flows/home/collection-tracking.yaml
46	.maestro/flows/home/managing-inventory.yaml
45	.maestro/flows/home/ai-identification.yaml
40	.maestro/flows/set-selector/topps-chrome-marketplace-read.yaml
39	.maestro/flows/set-selector/sets-resync-already-loaded.yaml
32	.maestro/flows/profile/test-credentials.yaml
17	.maestro/flows/home/landing-smoke.yaml
16	.maestro/flows/set-selector/custom-field-known-value-selects.yaml
14	.maestro/flows/home/landing-marketing.yaml
11	.maestro/flows/set-selector/admin-missing-sl-shows-warning.yaml
10	.maestro/flows/set-selector/admin-missing-both-shows-warning.yaml
10	.maestro/flows/set-selector/admin-missing-bsc-shows-warning.yaml
7	.maestro/flows/auth/sign-out.yaml
5	.maestro/flows/qr-code/no-profile-empty-state.yaml
4	.maestro/flows/auth/sign-in.yaml
4	.maestro/flows/profile/view-profile.yaml
3	.maestro/flows/dashboard/view-collection.yaml
